authorJobLocation,reviewHeadline,reviewDescription,reviewDate,authorJob,company
"New York, NY",,Good work life balance for all employees. The company truly tries to assist all employees by allowing individuals to work from home and creating programs such as Flex Friday(leave 2PM),6 juin 2015,Business Analyst,BNP Paribas
Chennai,,"It was very good start as a fresher to join BNP since we are trained on all aspects of fund accounting.,Management is employee friendly and takes care of all the concerns raised by the employees on a timely basis.,People work with at most team spirit and help the juniors learn and do their work with ease.,Work goes hectic at times since we have daily deadlines and need to deliver the NAV on an hourly basis.,Its a good learning experience working with BNP since quality and efficiency is improved day by day with perfect time management.",4 juin 2015,Senior associate - Fund accountant NAV process,BNP Paribas
"Philadelphia, PA",,"Great Management, very innovative and great culture. My experience has been very diverse and I have had the opportunity to take on various projects and work with various groups.",2 juin 2015,Hedge Fund Analyst,BNP Paribas
"Newport, NJ",,BNP Paribas is a great place to work for and the culture is great. The biggest asset are the people. The day to day responsibilities were ever changing and there was something new to learn every day on the job.,31 mai 2015,Consultant/Business Analyst,BNP Paribas
"London, ENG",,"Good working atmosphere, but not the most competitive environment. BNP is a good bank concerning the quantitative opportunities.",25 mai 2015,Valuation Product,BNP Paribas
"Mumbai, MH",,"Productive and fun at work place,Handling difficult issues with an ease and support of seniors,Helpfull co workers and colleagues ,Fun at Work Like Games, luch treat etc ..",15 mai 2015,Associate,BNP Paribas
"Paris, France",,"Business and production focus,people are pleasant to work with,A day of business is pretty hectic lots of things going on ,I learn all technology that is not use anymore ETI on Unix",13 mars 2016,BI Analyst/Developer,BNP Paribas
"Chennai, INDIA",,"- Office timing starts 2 am till 4 pm (supporting APAC region),- Good management skill and face all the challenges to overcome any escalations.,- Tackling human being and their thoughts are the biggest challenge hence, a little diplomacy is required.,- Yearly and Half yearly appraisals and the following feedback secession are the most enjoyable part. ,- Interviewing is the Hardest and interesting part.",15 mai 2015,Operations Manager,BNP Paribas
San Ramon,,"Management think of employees not as value added, but as costs that must be lowered and cut as much as possible.,This feedback is for the Corporate FP&A (San Ramon) department's budget & forecasting team especially. Very minimum ownership on projects in this team. When working with financial models, it is often to spend hours and days to discuss color of a cell or the width of a column, or how to name a work file. This is very inefficient use of time and waste of resources. Management does not listen to advices, it is either their way or the highway, but their way is actually very time consuming and inefficient. Managers in this team have 15, 20+ years of experience and think like the 1990s. People with this much experience could spent their time better moving projects along instead of spending days checking on cell colors and column widths everyday. Every minor work details require approvals from management. There is no learning gained from working in this group as everything resolves around documentations and format fixing. You are expected to work as told with no ideas and originality because "" We Paid for You to Work"". period. Do not expect to work for this team and learn, you learn NOTHING.  you are a workhorse (work 9am to 8pm is normal and expected) who does not need to be appreciated for hard work and for being analytical. You will be given meaningless work and be expected to complete everything 2 hours ago. Even if you finish the project in one hour, you will spend the next 2 days reviewing, fixing up formatting color, column widths, & other useless details for a",4 mai 2015,Senior Financial Analyst,BNP Paribas
Jersey City,,"Pros,Strong work ethic culture. Global platform allowing for geographic/sector mobility. Brilliant investment banking professionals. Worl class expertise in commodities, energy, infrastructure and oil and gas financing. Good perks,Cons,Bureaucracy. Below market salaries. Long hours",29 avril 2015,System Designer,BNP Paribas
Singapore,,"Presented and implemented quality controls checks/ governance process flow for APAC –CIB projects within the scope of work which includes Clarity data up gradation and making it more efficient and a golden source of information for management reporting, the controls are centrally implemented and are accepted by APAC PMO Governance office. ,•	Presented a project portfolio management tool  to Senior management which facilitates in having a global picture of the health of projects within the scope in a single view, project KPI, RAG, and key issues highlighted which needs management attention and overall track of project on-going activities.,•	The portfolio presented helps in ensuring constant alignments with business strategy; facilitate decision making; manage capacity; highlight dependencies; better control of project scope and reduce budget; track benefits.,•	Project portfolio setup facilitates in various senior management reporting and project office committees across the domain for better management and keeping track of ongoing activities within the scope.,•	Managing projects at program level and providing solutions to the team including project managers, management for any gaps within PMO and scope.,•	Work involvement at various levels including middle office, back office, operations, PMO for ongoing project activities.,•	Generates timely reporting appropriate to different levels of audience; i. e., Project Working Committee, Project Steering Committee.,•	Making high level presentation which is show case in project steering committee and management reporting, participating",29 avril 2015,Project Management Officer,BNP Paribas
