sentence;package & benefits;work culture;job description & take outs;relationship with management;team;general appreciation;career & progression
Excellent firm with great leadership leading the pack in terms of growth and making it a top employer;;;;;;;
 Constantly impressed with the ethics of our leadership and their drive to position the firm for growth and success in the coming years;;;;;;;
My work schedule is from 9am - 6pm;;;;;;;
 Although we are allowed to report until 10am;;;;;;;
 Reporting beyond 10am is considered as late although you can offset the minutes/hours late upon going home and there is no salary deduction;;;;;;;
 We are also allowed if we want to take a working lunch as long as we have rendered 8 hours of work for the day;;;;;;;
 The management and my co-workers are good;;;;;;;
 The hardest part of the job is if you encounter a bug on your testing since you will need to verify if this is indeed a bug by doing thorough investigation;;;;;;;
 You will also need to test this in previous build of the software;;;;;;;
 The most enjoyable part of the job is wherein everything is going well with  the testing execution since there are no errors encountered;;;;;;;
 I learned that you will have to be patient with your work;;;;;;;
I feel i was well groomed after I ended my internship in E&Y;;;;;;;
 I was regarded as a very supportive Intern by some senior auditors;;;;;;;
 It was an experience full of learning, grooming and improving communication skills;;;;;;;
The most important thing i do learned is that for each problem there is a variety of solutions and the problem is in the selection among alternatives not the problem itself;;;;;;;
#NAME?;;;;;;;
,- Process oriented company;;;;;;;
,- Always look for Continuous Improvement ;;;;;;;
,- Work hard and party harder attitude;;;;;;;
Great benefits, exceptional assignments and some of the most talented professionals I could ever hope to work with;;;;;;;
 Worked in Dallas, Houston and New York offices;;;;;;;
 Each was staffed with highly talented professionals and a collegial environment;;;;;;;
 Very team oriented and multi-disciplined teams with respect for each others skill sets and contribution;;;;;;;
 Extremely client focused;;;;;;;
I have been working within the Sales Excellence team of Microsoft Advertising, ensuring the timely delivery of key business Projects and deliverables;;;;;;;
" I am heavily involved in the creation of operational metrics that help both on an operational level as well as new insights for senior management; Key Measures such as ROI, productivity, average yield and product focus are only part of the key metrics that I have been involved in measuring";;;;;;;
 The analytics that I am actively involved in help improve and increase rigor around the strategic direction of our UK business;;;;;;;
Deloitte has a culture that is a good fit for those just out of undergraduate or graduate school;;;;;;;
 For those that have more job and life experience it can be difficult to advance your career;;;;;;;
 The company is totally driven by budgets and unfortunately it can stifling to the point of employees leaving due to the politics involved in budgeting process;;;;;;;
 ,Work/Life Balance is average;;;;;;;
 The day doesn't end at 5pm most days and working a long night is somewhat common;;;;;;;
 ,Deloitte tends to utilize contractors for work with the intention of hiring them full time;;;;;;;
 This is rarely the case;;;;;;;
 They struggle with budgeting correctly for the permanent roles;;;;;;;
 This is turn leads to the contractors moving onto their competitors and Deloitte losing some great talent;;;;;;;
 ,If you are just starting out in the working world, this is a good place to gain experience and company name recognition then move on;;;;;;;
At Ernest and Young you meet a diverse group of individuals from different backgrounds;;;;;;;
 It was a very nice company to work for;;;;;;;
Enhancement and development of reports,challenge scenarios,Good managers,Had a great team members,Nice place to work,Accenture is good place to work and many different type of learning things and enjoyed all kind of work n requirements we get;;;;;;;
1) Tight deadlines and overtime was there through out the year;;;;;;;
,2) Endless opportunity when it comes to training, they have best people in the Industry to train you be it soft skill or the technical ones;;;;;;;
,3) Its a huge organisation every week some new activity which leads to good exposure and growth of on employee,4) Most enjoyable part of my work was market research and reading annual reports of the company;;;;;;;
I have learned some many things in the accenture;;;;;;;
Management is not bad or not good;;;;;;;
Everything is very good in accenture;;;;;;;
There is a good work/life balance, it is a fun place to work however the salary is not very high;;;;;;;
Culture of underachievement and little opportunity for growth;;;;;;;
Good Work Place with Supportive Team members(but will notice bit of internal politics),over all its a good place if you are assigned to right project under right manager;;;;;;;
Great Place to Work;;;;;;;
 They are all about work life balance and their benefits are out of sight;;;;;;;
